time (seconds),encoderLeft (meters),encoderRight (meters)
102.301,18.742712020874023,18.369604110717773
102.401,18.775705337524414,18.39983558654785
102.501,18.808698654174805,18.430068969726562
102.601,18.841691970825195,18.460302352905273
102.701,18.874685287475586,18.49053382873535
102.801,18.907678604125977,18.520767211914062
102.901,18.940671920776367,18.55099868774414
103.001,18.973663330078125,18.58123207092285
103.099,19.006656646728516,18.61146354675293
103.198,19.039649963378906,18.64169692993164
103.301,19.072641372680664,18.67192840576172
103.403,19.105634689331055,18.702159881591797
103.499,19.138628005981445,18.732393264770508
103.601,19.171619415283203,18.762624740600586
103.701,19.204612731933594,18.792858123779297
103.796,19.237606048583984,18.823089599609375
103.899,19.270599365234375,18.853321075439453
103.997,19.303590774536133,18.883554458618164
104.101,19.336584091186523,18.913785934448242
104.2,19.369577407836914,18.944019317626953
104.301,19.402570724487305,18.974252700805664
104.4,19.435564041137695,19.004484176635742
104.498,19.468557357788086,19.034717559814453
104.601,19.501550674438477,19.064950942993164
104.701,19.534543991088867,19.095182418823242
104.801,19.567537307739258,19.125415802001953
104.902,19.600528717041016,19.15564727783203
105.001,19.633522033691406,19.185880661010742
105.101,19.666515350341797,19.21611213684082
105.202,19.699508666992188,19.24634552001953
105.301,19.732500076293945,19.27657699584961
105.401,19.765493392944336,19.30681037902832
105.496,19.798486709594727,19.3370418548584
105.599,19.831480026245117,19.36727523803711
105.701,19.864473342895508,19.397506713867188
105.811,19.897464752197266,19.4277400970459
105.901,19.930458068847656,19.457971572875977
106.002,19.963451385498047,19.488204956054688
106.101,19.996444702148438,19.5184383392334
106.201,20.029438018798828,19.548669815063477
106.3,20.06243133544922,19.578903198242188
106.399,20.09542465209961,19.6091365814209
106.5,20.12841796875,19.639368057250977
106.601,20.16141128540039,19.669601440429688
106.701,20.19440460205078,19.6998348236084
106.801,20.227397918701172,19.730066299438477
106.898,20.26038932800293,19.760299682617188
106.996,20.29338264465332,19.790531158447266
107.101,20.32637596130371,19.820764541625977
107.195,20.3593692779541,19.850996017456055
107.3,20.359516143798828,19.85111427307129
107.4,20.359516143798828,19.85111427307129
107.498,20.359516143798828,19.85111427307129
107.601,20.359516143798828,19.85111427307129
107.7,20.359516143798828,19.85111427307129
107.8,20.359514236450195,19.851112365722656
107.899,20.359512329101562,19.851110458374023
107.997,20.359512329101562,19.85110855102539
108.101,20.35951042175293,19.85110855102539
108.2,20.359508514404297,19.851106643676758
108.301,20.359508514404297,19.851104736328125
108.401,20.359506607055664,19.851102828979492
108.501,20.35950469970703,19.851102828979492
108.6,20.35950469970703,19.85110092163086
108.701,20.3595027923584,19.851099014282227
108.802,20.359500885009766,19.851097106933594
108.901,20.359498977661133,19.85109519958496
108.999,20.359498977661133,19.85109519958496
109.1,20.3594970703125,19.851093292236328
109.2,20.359495162963867,19.851091384887695
109.302,20.359495162963867,19.851089477539062
109.401,20.400129318237305,19.904157638549805
